Year/species/area;Species;Area;Year;PCB7 l.w.;SDDT l.w.;SHCH l.w.;HCB l.w.;TNC l.w.;SPBDE l.w.;Log PCB7 LW;Log DDT LW;Log HCH LW;Log TNC LW;Log HCB LW;Log PBDE LW;Hel lengde, cm;Log(Length);Hel vekt, g;Lever vekt, g;LSI %;Log LSI;Fettinnhold, %;Log fett;Alder, y;PCB7, µg/kg ww;Log PCB7 ww;DDT ww1;Log DDT ww;HCH ww;Log HCH ww;TNC ww;Log TNC ww;HCB ww;Log HCB ww;PBDE ww;Log PBDE ww;DDT ww10;Var18;Var19
C Eb 2019;Cod;Egersund Bank;2019;;;;;;;;;;;;;50;1,70;1135;125,00;11,01321586;1,04;;;;;;;;;;;;;;;;;C Eb;Cod Egersundbanken
C Eb 2019;Cod;Egersund Bank;2019;133,2886515;68,44558672;0,699066354;14,18405632;11,78159829;14,58252414;2,124793174;1,835345451;-0,1554816;1,071204211;1,151800447;1,163832704;47;1,67;1060;22,00;2,075471698;0,32;42,9;1,63;;57;1,76;29,37;1,47;0,30;-0,52;5,06;0,70;6,09;0,78;6,26;0,80;29,37;C T;Cod Tampen
C Eb 2019;Cod;Egersund Bank;2019;;;;;;;;;;;;;37;1,57;500;5,00;1;0,00;;;;;;;;;;;;;;;;;H Eb;Haddock Egersundbanken
C Eb 2019;Cod;Egersund Bank;2019;;;;;;;;;;;;;38;1,58;545;5,00;0,917431193;-0,04;;;;;;;;;;;;;;;;;H T;Haddock Tampen
C Eb 2019;Cod;Egersund Bank;2019;179,6271003;80,26903989;1,071936858;15,67901846;13,57786687;19,39972683;2,254371859;1,904548068;0,030169204;1,132831546;1,195318871;1,287795615;45;1,65;845;23,00;2,721893491;0,43;51,5;1,71;;93;1,97;41,34;1,62;0,55;-0,26;6,99;0,84;8,07;0,91;9,99;1,00;41,34;S Eb;Saithe Egersundbanken
C Eb 2019;Cod;Egersund Bank;2019;129,4009069;66,98771859;1,002510006;17,79223912;13,06039189;20,13502789;2,11193732;1,825995187;0,001088716;1,115956209;1,250230607;1,303952235;72;1,86;3680;177,00;4,809782609;0,68;64,8;1,81;;84;1,92;43,43;1,64;0,65;-0,19;8,47;0,93;11,54;1,06;13,06;1,12;43,43;S T;Saithe Tampen
C Eb 2016;Cod;Egersund Bank;2016;617,7045592;211,3901801;3,645504521;27,76148376;40,28124254;54,27289636;2,790780807;2,325084809;0,561757641;1,605102859;1,443442674;1,734582999;39;1,59;555;11,00;1,981981982;0,30;32,3;1,51;2;199;2,30;68,26;1,83;1,18;0,07;13,01;1,11;8,97;0,95;17,53;1,24;68,26;;
C Eb 2016;Cod;Egersund Bank;2016;2070,887697;418,9726613;3,513034371;35,36552463;91,88154021;122,5065153;3,316156548;2,622185685;0,545682399;1,963228267;1,548580105;2,088159187;42;1,62;620;5,00;0,806451613;-0,09;5,9;0,77;2;123;2,09;24,83;1,40;0,21;-0,68;5,45;0,74;2,10;0,32;7,26;0,86;24,83;;
C Eb 2016;Cod;Egersund Bank;2016;593,364947;170,0430679;0,53244203;6,841473777;27,98628994;33,58414224;2,773321887;2,230558932;-0,27372767;1,446945329;0,835149667;1,526134261;55;1,74;1400;12,00;0,857142857;-0,07;52,4;1,72;3;311;2,49;89,16;1,95;0,28;-0,55;14,67;1,17;3,59;0,55;17,61;1,25;89,16;;
C Eb 2016;Cod;Egersund Bank;2016;1593,060412;476,0616023;2,738705097;23,63712399;71,80493871;59,19027668;3,202232246;2,677663154;0,43754527;1,856154316;1,373594633;1,77225037;69;1,84;3235;44,00;1,360123648;0,13;18,1;1,26;4;289;2,46;86,34;1,94;0,50;-0,30;13,02;1,11;4,29;0,63;10,74;1,03;86,34;;
